Species,Clade,Subspecies,Latitude,Longitude
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
